#Tenant[0],ID[1],FilterType[2],FilterFieldName[3],FilterFieldValues[4],ActivationInterval[5]
cgrates.org,FLTR_1,*string,Account,1001;1002,2014-07-29T15:00:00Z
cgrates.org,FLTR_1,*prefix,Destination,10;20,
cgrates.org,FLTR_1,*rsr,,~Subject(~^1.*1$);~Destination(1002),
cgrates.org,FLTR_ACNT_1007,*string,Account,1007,2014-07-29T15:00:00Z
cgrates.org,FLTR_ACNT_dan,*string,Account,dan,2014-07-29T15:00:00Z
cgrates.org,FLTR_DST_DE,*destinations,Destination,DST_DE,2014-07-29T15:00:00Z
cgrates.org,FLTR_DST_NL,*destinations,Destination,DST_NL,2014-07-29T15:00:00Z
cgrates.org,FLTR_ACNT_BALANCE_1,*string,Account,1001;1002,2014-07-29T15:00:00Z
cgrates.org,FLTR_ACNT_BALANCE_1,*string,EventType,BalanceUpdate,
cgrates.org,FLTR_ACNT_BALANCE_1,*gte,Units,10.0,
cgrates.org,FLTR_ACNT_EXPIRED,*string,Account,1001;1002,2014-07-29T15:00:00Z
cgrates.org,FLTR_ACNT_EXPIRED,*gte,ExpiryTime,*now,
cgrates.org,FLTR_STATS_1,*string,EventType,StatUpdate,2014-07-29T15:00:00Z
cgrates.org,FLTR_STATS_1,*lt,ASR,40.0,
cgrates.org,FLTR_STATS_1,*lt,ACD,3m,
cgrates.org,FLTR_STATS_2,*string,EventType,StatUpdate,2014-07-29T15:00:00Z
cgrates.org,FLTR_STATS_2,*string,StatID,STATS_HOURLY_DE,
cgrates.org,FLTR_STATS_2,*gt,TCD,30m,
cgrates.org,FLTR_STATS_3,*string,EventType,StatUpdate,2014-07-29T15:00:00Z
cgrates.org,FLTR_STATS_3,*string,StatID,STATS_DAILY_DE,
cgrates.org,FLTR_STATS_3,*gt,TCD,3h,
cgrates.org,FLTR_RES_1,*string,EventType,ResourceUpdate,2014-07-29T15:00:00Z
cgrates.org,FLTR_RES_1,*string,ResourceID,RES_GRP_1,
cgrates.org,FLTR_RES_1,*gte,Usage,10.0,
cgrates.org,FLTR_DST_FS,*destinations,Destination,DST_FS,2014-07-29T15:00:00Z
cgrates.org,FLTR_RES_GR3,*string,Account,3001,2014-07-29T15:00:00Z
cgrates.org,FLTR_CDRS,*cdr_stats,,CDRST1:*min_ASR:34;CDRST_1001:*min_ASR:20,2014-07-29T15:00:00Z
cgrates.org,FLTR_STS1,*string,Account,1001;1002,2014-07-29T15:00:00Z
cgrates.org,FLTR_CDR_UPDATE,*string,EventType,CDR,2014-07-29T15:00:00Z
