#Id[0],QueueLength[1],TimeWindow[2],SaveInerval[3],Metric[4],SetupInterval[5],TOR[6],CdrHost[7],CdrSource[8],ReqType[9],Direction[10],Tenant[11],Category[12],Account[13],Subject[14],DestinationPrefix[15],PddInterval[16],UsageInterval[17],Supplier[18],DisconnectCause[19],MediationRunIds[20],RatedAccount[21],RatedSubject[22],CostInterval[23],Triggers[24]
CDRST1,10,0,10s,ASR,,,,,,,cgrates.org,,,,,,,,,*default,,,,CDRST1_WARN
CDRST1,,,,ACD,,,,,,,,,,,,,,,,,,,,
CDRST1,,,,ACC,,,,,,,,,,,,,,,,,,,,
CDRST1,,,,TCD,,,,,,,,,,,,,,,,,,,,
CDRST1,,,,TCC,,,,,,,,,,,,,,,,,,,,
CDRST_1001,10,10m,10s,ASR,,,,,,,cgrates.org,,,1001,,,,,,*default,,,,CDRST1001_WARN
CDRST_1001,,,,ACD,,,,,,,,,,,,,,,,,,,,
CDRST_1001,,,,ACC,,,,,,,,,,,,,,,,,,,,
CDRST_1002,10,10m,10s,ASR,,,,,,,cgrates.org,,,1002,,,,,,*default,,,,CDRST1001_WARN
CDRST_1002,,,,ACD,,,,,,,,,,,,,,,,,,,,
CDRST_1002,,,,ACC,,,,,,,,,,,,,,,,,,,,
CDRST_1003,,,,ASR,,,,,,,cgrates.org,,,,1003,,,,,*default,,,,CDRST3_WARN
CDRST_1003,,,,ACD,,,,,,,,,,,,,,,,,,,,
STATS_SUPPL1,,,,ACD,,,,,,,,,,,,,,suppl1,,,,,,
STATS_SUPPL1,,,,ASR,,,,,,,,,,,,,,suppl1,,,,,,
STATS_SUPPL1,,,,ACC,,,,,,,,,,,,,,suppl1,,,,,,
STATS_SUPPL1,,,,TCD,,,,,,,,,,,,,,suppl1,,,,,,
STATS_SUPPL1,,,,TCC,,,,,,,,,,,,,,suppl1,,,,,,
STATS_SUPPL2,,,,ACD,,,,,,,,,,,,,,suppl2,,,,,,
STATS_SUPPL2,,,,ASR,,,,,,,,,,,,,,suppl2,,,,,,
STATS_SUPPL2,,,,ACC,,,,,,,,,,,,,,suppl2,,,,,,
STATS_SUPPL2,,,,TCD,,,,,,,,,,,,,,suppl2,,,,,,
STATS_SUPPL2,,,,TCC,,,,,,,,,,,,,,suppl2,,,,,,
